"","SalesToday","freq","High","Low"
"1","0",0.352189781021898,0.352189781021898,0
"2","1",0.166970802919708,0.519160583941606,0.352189781021898
"3","2",0.161496350364964,0.680656934306569,0.519160583941606
"4","3",0.121350364963504,0.802007299270073,0.680656934306569
"5","4",0.0702554744525547,0.872262773722628,0.802007299270073
"6","5",0.0593065693430657,0.931569343065693,0.872262773722628
"7","6",0.0264598540145985,0.958029197080292,0.931569343065693
"8","7",0.020985401459854,0.979014598540146,0.958029197080292
"9","8",0.0072992700729927,0.986313868613139,0.979014598540146
"10","9",0.00456204379562044,0.990875912408759,0.986313868613139
"11","10",0.00547445255474453,0.996350364963504,0.990875912408759
"12","11",0.00273722627737226,0.999087591240876,0.996350364963504
"13","12",0.000912408759124088,1,0.999087591240876
